variant,k,traffic,ir,seed,avg_lat,status
DDDQN_full,8,uniform,0.005,1337,54.0008,ok
DDDQN_full,8,uniform,0.005,17,54.6846,ok
DDDQN_full,8,uniform,0.005,314,55.4803,ok
DDDQN_full,8,uniform,0.005,42,54.6181,ok
DDDQN_full,8,uniform,0.005,2024,54.0816,ok
DDDQN_full,8,uniform,0.01,1337,67.4647,ok
DDDQN_full,8,uniform,0.01,42,69.563,ok
DDDQN_full,8,uniform,0.01,2024,68.0568,ok
DDDQN_full,8,uniform,0.01,314,71.2531,ok
DDDQN_full,8,uniform,0.01,17,66.355,ok
DDDQN_full,8,uniform,0.04,42,512.846,ok
DDDQN_full,8,uniform,0.04,2024,517.439,ok
DDDQN_full,8,uniform,0.04,1337,496.781,ok
DDDQN_full,8,uniform,0.02,42,253.35,ok
DDDQN_full,8,uniform,0.04,314,517.8,ok
DDDQN_full,8,uniform,0.02,17,199.882,ok
DDDQN_full,8,uniform,0.02,1337,222.637,ok
DDDQN_full,8,uniform,0.02,2024,280.177,ok
DDDQN_full,8,uniform,0.04,17,494.423,ok
DDDQN_full,8,hotspot,0.005,42,622.167,ok
DDDQN_full,8,uniform,0.08,42,785.994,ok
DDDQN_full,8,hotspot,0.005,1337,658.742,ok
DDDQN_full,8,uniform,0.02,314,203.564,ok
DDDQN_full,8,hotspot,0.005,2024,663.278,ok
DDDQN_full,8,hotspot,0.005,314,685.5,ok
DDDQN_full,8,hotspot,0.005,17,691.567,ok
DDDQN_full,8,hotspot,0.01,42,819.763,ok
DDDQN_full,8,hotspot,0.01,1337,768.289,ok
DDDQN_full,8,hotspot,0.01,2024,724.625,ok
DDDQN_full,8,hotspot,0.01,314,790.351,ok
DDDQN_full,8,hotspot,0.01,17,788.381,ok
DDDQN_full,8,hotspot,0.02,42,888.49,ok
DDDQN_full,8,uniform,0.08,1337,762.629,ok
DDDQN_full,8,hotspot,0.02,1337,852.153,ok
DDDQN_full,8,hotspot,0.02,2024,860.292,ok
DDDQN_full,8,uniform,0.08,2024,754.191,ok
DDDQN_full,8,hotspot,0.02,314,862.371,ok
DDDQN_full,8,hotspot,0.04,42,955.111,ok
DDDQN_full,8,hotspot,0.02,17,889.515,ok
DDDQN_full,8,uniform,0.08,314,750.072,ok
DDDQN_full,8,hotspot,0.04,1337,950.323,ok
DDDQN_full,8,uniform,0.08,17,767.466,ok
DDDQN_full,8,hotspot,0.04,2024,949.67,ok
DDDQN_full,8,hotspot,0.04,17,965.429,ok
DDDQN_full,8,hotspot,0.08,42,992.908,ok
DDDQN_full,8,hotspot,0.04,314,953.0,ok
DDDQN_full,8,hotspot,0.08,1337,997.928,ok
DDDQN_full,8,hotspot,0.08,314,982.34,ok
DDDQN_full,8,hotspot,0.08,2024,988.806,ok
DDDQN_full,8,hotspot,0.08,17,972.557,ok
DDDQN_full,8,transpose,0.005,42,54.3108,ok
DDDQN_full,8,transpose,0.005,1337,53.9016,ok
DDDQN_full,8,transpose,0.005,2024,54.2969,ok
DDDQN_full,8,transpose,0.005,17,52.3744,ok
DDDQN_full,8,transpose,0.005,314,53.5083,ok
DDDQN_full,8,transpose,0.01,1337,63.0538,ok
DDDQN_full,8,transpose,0.01,42,64.3345,ok
DDDQN_full,8,transpose,0.01,2024,63.7303,ok
DDDQN_full,8,transpose,0.01,17,63.9428,ok
DDDQN_full,8,transpose,0.01,314,66.3476,ok
DDDQN_full,8,transpose,0.04,42,394.112,ok
DDDQN_full,8,transpose,0.04,1337,396.906,ok
DDDQN_full,8,transpose,0.04,2024,398.122,ok
DDDQN_full,8,transpose,0.04,314,391.531,ok
DDDQN_full,8,transpose,0.04,17,392.176,ok
DDDQN_full,8,transpose,0.08,42,660.85,ok
DDDQN_full,8,transpose,0.02,2024,383.058,ok
DDDQN_full,8,transpose,0.02,1337,311.56,ok
DDDQN_no_double,8,uniform,0.005,42,57.3309,ok
DDDQN_full,8,transpose,0.02,42,343.103,ok
DDDQN_full,8,transpose,0.02,314,343.776,ok
DDDQN_full,8,transpose,0.08,1337,646.794,ok
DDDQN_full,8,transpose,0.08,2024,649.424,ok
DDDQN_full,8,transpose,0.02,17,334.176,ok
DDDQN_no_double,8,uniform,0.005,1337,55.2981,ok
DDDQN_no_double,8,uniform,0.005,2024,55.319,ok
DDDQN_full,8,transpose,0.08,314,643.875,ok
DDDQN_no_double,8,uniform,0.005,17,54.673,ok
DDDQN_no_double,8,uniform,0.005,314,55.394,ok
DDDQN_full,8,transpose,0.08,17,645.877,ok
DDDQN_no_double,8,uniform,0.01,42,70.7273,ok
DDDQN_no_double,8,uniform,0.01,1337,68.9303,ok
DDDQN_no_double,8,uniform,0.01,2024,70.9671,ok
DDDQN_no_double,8,uniform,0.01,17,67.5027,ok
DDDQN_no_double,8,uniform,0.01,314,70.3534,ok
DDDQN_no_double,8,uniform,0.04,1337,509.626,ok
DDDQN_no_double,8,uniform,0.04,42,530.102,ok
DDDQN_no_double,8,uniform,0.04,2024,511.723,ok
DDDQN_no_double,8,uniform,0.02,1337,284.104,ok
DDDQN_no_double,8,uniform,0.02,42,313.172,ok
DDDQN_no_double,8,uniform,0.04,17,524.422,ok
DDDQN_no_double,8,uniform,0.04,314,509.337,ok
DDDQN_no_double,8,uniform,0.02,2024,364.494,ok
DDDQN_no_double,8,uniform,0.02,314,233.415,ok
DDDQN_no_double,8,uniform,0.08,42,779.406,ok
DDDQN_no_double,8,hotspot,0.005,42,621.224,ok
DDDQN_no_double,8,hotspot,0.005,314,638.388,ok
DDDQN_no_double,8,hotspot,0.005,1337,617.186,ok
DDDQN_no_double,8,hotspot,0.005,2024,685.286,ok
DDDQN_no_double,8,uniform,0.02,17,264.098,ok
DDDQN_no_double,8,hotspot,0.005,17,644.0,ok
DDDQN_no_double,8,hotspot,0.01,42,813.773,ok
DDDQN_no_double,8,hotspot,0.01,1337,773.367,ok
DDDQN_no_double,8,hotspot,0.01,2024,789.02,ok
DDDQN_no_double,8,uniform,0.08,1337,762.872,ok
DDDQN_no_double,8,uniform,0.08,2024,766.94,ok
DDDQN_no_double,8,hotspot,0.01,314,786.784,ok
DDDQN_no_double,8,hotspot,0.02,42,900.173,ok
DDDQN_no_double,8,uniform,0.08,314,778.284,ok
DDDQN_no_double,8,hotspot,0.01,17,795.134,ok
DDDQN_no_double,8,hotspot,0.02,1337,906.361,ok
DDDQN_no_double,8,uniform,0.08,17,747.029,ok
DDDQN_no_double,8,hotspot,0.02,2024,888.938,ok
DDDQN_no_double,8,hotspot,0.04,2024,952.454,ok
DDDQN_no_double,8,hotspot,0.02,314,886.701,ok
DDDQN_no_double,8,hotspot,0.04,1337,959.235,ok
DDDQN_no_double,8,hotspot,0.04,42,911.206,ok
DDDQN_no_double,8,hotspot,0.02,17,871.454,ok
DDDQN_no_double,8,hotspot,0.04,314,963.041,ok
DDDQN_no_double,8,hotspot,0.04,17,977.643,ok
DDDQN_no_double,8,hotspot,0.08,1337,975.896,ok
DDDQN_no_double,8,hotspot,0.08,42,980.082,ok
DDDQN_no_double,8,hotspot,0.08,314,995.776,ok
DDDQN_no_double,8,hotspot,0.08,17,967.289,ok
DDDQN_no_double,8,hotspot,0.08,2024,992.878,ok
DDDQN_no_double,8,transpose,0.005,42,52.219,ok
DDDQN_no_double,8,transpose,0.005,2024,53.827,ok
DDDQN_no_double,8,transpose,0.005,1337,55.288,ok
DDDQN_no_double,8,transpose,0.005,314,53.3924,ok
DDDQN_no_double,8,transpose,0.005,17,53.6489,ok
DDDQN_no_double,8,transpose,0.01,1337,65.6821,ok
DDDQN_no_double,8,transpose,0.01,42,64.502,ok
DDDQN_no_double,8,transpose,0.01,2024,65.6563,ok
DDDQN_no_double,8,transpose,0.01,17,62.6654,ok
DDDQN_no_double,8,transpose,0.01,314,64.6377,ok
DDDQN_no_double,8,transpose,0.04,1337,376.25,ok
DDDQN_no_double,8,transpose,0.04,42,399.821,ok
DDDQN_no_double,8,transpose,0.04,2024,384.071,ok
DDDQN_no_double,8,transpose,0.04,314,401.251,ok
DDDQN_no_double,8,transpose,0.04,17,387.311,ok
DDDQN_no_double,8,transpose,0.08,42,660.119,ok
DDDQN_no_double,8,transpose,0.02,1337,310.058,ok
DDDQN_no_double,8,transpose,0.02,2024,397.563,ok
DDDQN_no_double,8,transpose,0.02,42,365.637,ok
DDDQN_no_double,8,transpose,0.02,17,315.656,ok
DDDQN_no_double,8,transpose,0.08,1337,646.73,ok
DDDQN_no_double,8,transpose,0.02,314,298.138,ok
DDDQN_no_double,8,transpose,0.08,2024,655.15,ok
DDDQN_no_double,8,transpose,0.08,314,650.307,ok
DDDQN_no_double,8,transpose,0.08,17,644.37,ok
