traffic,ir,full_mean,no_double_mean,delta_pct,full_wins
uniform,0.005,54.5731,55.603,-1.85,yes
uniform,0.01,68.5385,69.6962,-1.66,yes
uniform,0.02,231.922,291.8566,-20.54,yes
uniform,0.04,507.8578,517.042,-1.78,yes
uniform,0.08,764.0704,766.9062,-0.37,yes
hotspot,0.005,664.2508,641.2168,3.59,no
hotspot,0.01,778.2818,791.6156,-1.68,yes
hotspot,0.02,870.5642,890.7254,-2.26,yes
hotspot,0.04,954.7066,952.7158,0.21,no
hotspot,0.08,986.9078,982.3842,0.46,no
transpose,0.005,53.6784,53.6751,0.01,no
transpose,0.01,64.2818,64.6287,-0.54,yes
transpose,0.02,343.1346,337.4104,1.7,no
transpose,0.04,394.5694,389.7408,1.24,no
transpose,0.08,649.364,651.3352,-0.3,yes
