mesh,traffic,ir,action_1_pct,decisions_count
4x4,uniform,0.005,100.0,798
4x4,uniform,0.01,100.0,1550
4x4,uniform,0.02,100.0,3204
4x4,uniform,0.04,99.81,5198
4x4,uniform,0.08,99.82,2784
4x4,hotspot,0.005,100.0,556
4x4,hotspot,0.01,100.0,329
4x4,hotspot,0.02,100.0,315
4x4,hotspot,0.04,100.0,326
4x4,hotspot,0.08,100.0,321
4x4,transpose,0.005,100.0,756
4x4,transpose,0.01,100.0,1636
4x4,transpose,0.02,100.0,3320
4x4,transpose,0.04,100.0,9724
4x4,transpose,0.08,100.0,3136
8x8,uniform,0.005,98.73,6764
8x8,uniform,0.01,99.16,13626
8x8,uniform,0.02,98.31,32629
8x8,uniform,0.04,97.64,14126
8x8,uniform,0.08,97.95,14057
8x8,hotspot,0.005,93.61,954
8x8,hotspot,0.01,93.61,939
8x8,hotspot,0.02,93.15,963
8x8,hotspot,0.04,94.46,920
8x8,hotspot,0.08,94.42,896
8x8,transpose,0.005,96.73,6610
8x8,transpose,0.01,97.99,13508
8x8,transpose,0.02,98.95,47132
8x8,transpose,0.04,99.49,14373
8x8,transpose,0.08,99.55,14472
16x16,uniform,0.005,99.11,57566
16x16,uniform,0.01,96.97,141810
16x16,uniform,0.02,97.54,39685
16x16,uniform,0.04,97.35,31010
16x16,uniform,0.08,97.75,29777
16x16,hotspot,0.005,97.68,4269
16x16,hotspot,0.01,97.66,4152
16x16,hotspot,0.02,98.02,4037
16x16,hotspot,0.04,98.12,3889
16x16,hotspot,0.08,98.06,3758
16x16,transpose,0.005,98.35,55032
16x16,transpose,0.01,98.95,87579
16x16,transpose,0.02,99.26,45517
16x16,transpose,0.04,99.51,45717
16x16,transpose,0.08,99.38,46503
