method,k,traffic,ir,mean,std,n,ci95
CreditMinAdapt,4,hotspot,0.005,402.0476,71.7122,5,62.8585
CreditMinAdapt,4,hotspot,0.01,541.3332,41.6559,5,36.513
CreditMinAdapt,4,hotspot,0.02,744.0552,26.8615,5,23.5451
CreditMinAdapt,4,hotspot,0.04,884.6204,15.4699,5,13.56
CreditMinAdapt,4,hotspot,0.08,944.464,9.9687,5,8.7379
CreditMinAdapt,4,transpose,0.005,36.8894,0.2792,5,0.2447
CreditMinAdapt,4,transpose,0.01,39.7096,0.6164,5,0.5403
CreditMinAdapt,4,transpose,0.02,50.4863,1.6115,5,1.4125
CreditMinAdapt,4,transpose,0.04,263.1264,18.1854,5,15.9402
CreditMinAdapt,4,transpose,0.08,499.5844,9.6333,5,8.444
CreditMinAdapt,4,uniform,0.005,38.9619,0.873,5,0.7652
CreditMinAdapt,4,uniform,0.01,43.9321,0.5046,5,0.4423
CreditMinAdapt,4,uniform,0.02,63.2893,2.174,5,1.9056
CreditMinAdapt,4,uniform,0.04,400.942,28.736,5,25.1882
CreditMinAdapt,4,uniform,0.08,601.6278,9.6755,5,8.481
CreditMinAdapt,8,hotspot,0.005,660.9114,28.1063,5,24.6362
CreditMinAdapt,8,hotspot,0.01,771.5156,30.9926,5,27.1662
CreditMinAdapt,8,hotspot,0.02,866.083,21.4126,5,18.769
CreditMinAdapt,8,hotspot,0.04,949.8868,12.2047,5,10.6979
CreditMinAdapt,8,hotspot,0.08,985.28,10.3725,5,9.0919
CreditMinAdapt,8,transpose,0.005,53.6784,0.8003,5,0.7015
CreditMinAdapt,8,transpose,0.01,64.2818,1.2447,5,1.091
CreditMinAdapt,8,transpose,0.02,343.1346,25.8433,5,22.6526
CreditMinAdapt,8,transpose,0.04,394.5694,2.8831,5,2.5272
CreditMinAdapt,8,transpose,0.08,649.364,6.7236,5,5.8935
CreditMinAdapt,8,uniform,0.005,54.4106,0.9001,5,0.7889
CreditMinAdapt,8,uniform,0.01,68.7669,1.3598,5,1.1919
CreditMinAdapt,8,uniform,0.02,239.999,29.4063,5,25.7757
CreditMinAdapt,8,uniform,0.04,515.6048,9.0728,5,7.9526
CreditMinAdapt,8,uniform,0.08,761.5374,5.1687,5,4.5306
CreditMinAdapt,16,hotspot,0.005,807.3196,35.0536,5,30.7258
CreditMinAdapt,16,hotspot,0.01,868.9936,19.6175,5,17.1955
CreditMinAdapt,16,hotspot,0.02,951.8064,14.0678,5,12.331
CreditMinAdapt,16,hotspot,0.04,963.6128,18.439,5,16.1625
CreditMinAdapt,16,hotspot,0.08,991.2058,16.1883,5,14.1897
CreditMinAdapt,16,transpose,0.005,95.167,1.2095,5,1.0601
CreditMinAdapt,16,transpose,0.01,331.9698,8.2858,5,7.2628
CreditMinAdapt,16,transpose,0.02,411.2322,4.7612,5,4.1734
CreditMinAdapt,16,transpose,0.04,560.6244,6.957,5,6.0981
CreditMinAdapt,16,transpose,0.08,744.2552,6.6219,5,5.8043
CreditMinAdapt,16,uniform,0.005,90.8815,0.6513,5,0.5709
CreditMinAdapt,16,uniform,0.01,272.9054,17.7491,5,15.5578
CreditMinAdapt,16,uniform,0.02,476.0178,30.5538,5,26.7816
CreditMinAdapt,16,uniform,0.04,607.9742,47.842,5,41.9354
CreditMinAdapt,16,uniform,0.08,714.481,73.0237,5,64.0081
DDDQN,4,hotspot,0.005,402.0476,71.7122,5,62.8585
DDDQN,4,hotspot,0.01,541.3332,41.6559,5,36.513
DDDQN,4,hotspot,0.02,744.0552,26.8615,5,23.5451
DDDQN,4,hotspot,0.04,884.6204,15.4699,5,13.56
DDDQN,4,hotspot,0.08,944.464,9.9687,5,8.7379
DDDQN,4,transpose,0.005,36.8894,0.2792,5,0.2447
DDDQN,4,transpose,0.01,39.7096,0.6164,5,0.5403
DDDQN,4,transpose,0.02,50.4863,1.6115,5,1.4125
DDDQN,4,transpose,0.04,263.1264,18.1854,5,15.9402
DDDQN,4,transpose,0.08,499.5844,9.6333,5,8.444
DDDQN,4,uniform,0.005,38.9619,0.873,5,0.7652
DDDQN,4,uniform,0.01,43.9321,0.5046,5,0.4423
DDDQN,4,uniform,0.02,63.2893,2.174,5,1.9056
DDDQN,4,uniform,0.04,401.107,28.8195,5,25.2614
DDDQN,4,uniform,0.08,601.6278,9.6755,5,8.481
DDDQN,8,hotspot,0.005,664.2508,27.3863,5,24.0052
DDDQN,8,hotspot,0.01,778.2818,35.1684,5,30.8264
DDDQN,8,hotspot,0.02,870.5642,17.2633,5,15.1319
DDDQN,8,hotspot,0.04,954.7066,6.3763,5,5.5891
DDDQN,8,hotspot,0.08,986.9078,9.8471,5,8.6314
DDDQN,8,transpose,0.005,53.6784,0.8003,5,0.7015
DDDQN,8,transpose,0.01,64.2818,1.2447,5,1.091
DDDQN,8,transpose,0.02,343.1346,25.8433,5,22.6526
DDDQN,8,transpose,0.04,394.5694,2.8831,5,2.5272
DDDQN,8,transpose,0.08,649.364,6.7236,5,5.8935
DDDQN,8,uniform,0.005,54.5731,0.593,5,0.5198
DDDQN,8,uniform,0.01,68.5385,1.9086,5,1.673
DDDQN,8,uniform,0.02,231.922,34.2952,5,30.0611
DDDQN,8,uniform,0.04,507.8578,11.3877,5,9.9818
DDDQN,8,uniform,0.08,764.0704,14.034,5,12.3013
DDDQN,16,hotspot,0.005,820.473,32.3019,5,28.3139
DDDQN,16,hotspot,0.01,860.8432,24.1792,5,21.194
DDDQN,16,hotspot,0.02,952.555,13.408,5,11.7527
DDDQN,16,hotspot,0.04,955.1706,19.8871,5,17.4319
DDDQN,16,hotspot,0.08,994.3304,13.1759,5,11.5492
DDDQN,16,transpose,0.005,95.167,1.2095,5,1.0601
DDDQN,16,transpose,0.01,331.9698,8.2858,5,7.2628
DDDQN,16,transpose,0.02,411.2322,4.7612,5,4.1734
DDDQN,16,transpose,0.04,560.6244,6.957,5,6.0981
DDDQN,16,transpose,0.08,744.2552,6.6219,5,5.8043
DDDQN,16,uniform,0.005,91.1296,0.9956,5,0.8727
DDDQN,16,uniform,0.01,266.1896,25.5433,5,22.3897
DDDQN,16,uniform,0.02,451.46,42.0666,5,36.873
DDDQN,16,uniform,0.04,633.1442,49.5866,5,43.4646
DDDQN,16,uniform,0.08,680.5644,64.069,5,56.159
DyAD,4,hotspot,0.005,392.9478,79.1268,5,69.3577
DyAD,4,hotspot,0.01,530.9902,47.0017,5,41.1988
DyAD,4,hotspot,0.02,733.9256,49.7887,5,43.6417
DyAD,4,hotspot,0.04,886.0604,13.4513,5,11.7906
DyAD,4,hotspot,0.08,942.2578,13.144,5,11.5213
DyAD,4,transpose,0.005,36.24,0.5352,5,0.4691
DyAD,4,transpose,0.01,39.0013,0.9639,5,0.8449
DyAD,4,transpose,0.02,51.6993,3.5811,5,3.139
DyAD,4,transpose,0.04,327.9218,80.6681,5,70.7087
DyAD,4,transpose,0.08,433.0202,11.1904,5,9.8088
DyAD,4,uniform,0.005,39.8125,0.9627,5,0.8438
DyAD,4,uniform,0.01,45.177,0.5424,5,0.4754
DyAD,4,uniform,0.02,67.435,4.5436,5,3.9826
DyAD,4,uniform,0.04,446.257,32.1211,5,28.1554
DyAD,4,uniform,0.08,625.922,15.8845,5,13.9234
DyAD,8,hotspot,0.005,606.4536,22.6319,5,19.8377
DyAD,8,hotspot,0.01,738.1068,62.4419,5,54.7327
DyAD,8,hotspot,0.02,848.0216,18.1275,5,15.8894
DyAD,8,hotspot,0.04,941.6646,11.3455,5,9.9448
DyAD,8,hotspot,0.08,978.8574,11.9583,5,10.4819
DyAD,8,transpose,0.005,54.4237,0.4268,5,0.3741
DyAD,8,transpose,0.01,87.353,4.432,5,3.8848
DyAD,8,transpose,0.02,359.379,17.9234,5,15.7105
DyAD,8,transpose,0.04,429.0926,5.1444,5,4.5092
DyAD,8,transpose,0.08,662.6274,8.0705,5,7.0741
