train_seed,k,traffic,ir,eval_seed,avg_lat,status
seed_1,8,uniform,0.005,42,54.6181,ok
seed_1,8,uniform,0.005,1337,54.0008,ok
seed_1,8,uniform,0.005,314,55.4803,ok
seed_1,8,uniform,0.005,17,54.6846,ok
seed_1,8,uniform,0.005,2024,54.0816,ok
seed_1,8,uniform,0.01,2024,68.0568,ok
seed_1,8,uniform,0.01,1337,67.4647,ok
seed_1,8,uniform,0.01,42,69.563,ok
seed_1,8,uniform,0.01,17,66.355,ok
seed_1,8,uniform,0.01,314,71.2531,ok
seed_1,8,uniform,0.04,42,512.846,ok
seed_1,8,uniform,0.04,1337,496.781,ok
seed_1,8,uniform,0.04,2024,517.439,ok
seed_1,8,uniform,0.02,42,253.35,ok
seed_1,8,uniform,0.04,314,517.8,ok
seed_1,8,uniform,0.02,1337,222.637,ok
seed_1,8,uniform,0.02,17,199.882,ok
seed_1,8,uniform,0.02,2024,280.177,ok
seed_1,8,uniform,0.02,314,203.564,ok
seed_1,8,uniform,0.04,17,494.423,ok
seed_1,8,uniform,0.08,42,785.994,ok
seed_1,8,hotspot,0.005,42,622.167,ok
seed_1,8,hotspot,0.005,1337,658.742,ok
seed_1,8,hotspot,0.005,2024,663.278,ok
seed_1,8,hotspot,0.005,314,685.5,ok
seed_1,8,hotspot,0.005,17,691.567,ok
seed_1,8,uniform,0.08,1337,762.629,ok
seed_1,8,hotspot,0.01,42,819.763,ok
seed_1,8,uniform,0.08,2024,754.191,ok
seed_1,8,hotspot,0.01,2024,724.625,ok
seed_1,8,hotspot,0.01,1337,768.289,ok
seed_1,8,hotspot,0.01,314,790.351,ok
seed_1,8,hotspot,0.01,17,788.381,ok
seed_1,8,hotspot,0.02,42,888.49,ok
seed_1,8,hotspot,0.02,1337,852.153,ok
seed_1,8,hotspot,0.02,314,862.371,ok
seed_1,8,hotspot,0.02,2024,860.292,ok
seed_1,8,hotspot,0.02,17,889.515,ok
seed_1,8,uniform,0.08,314,750.072,ok
seed_1,8,hotspot,0.04,17,965.429,ok
seed_1,8,uniform,0.08,17,767.466,ok
seed_1,8,hotspot,0.04,2024,949.67,ok
seed_1,8,hotspot,0.04,314,953.0,ok
seed_1,8,hotspot,0.04,42,955.111,ok
seed_1,8,hotspot,0.04,1337,950.323,ok
