traffic,ir,seed_1,seed_42,seed_1337,cross_std,cross_mean,cv_pct
uniform,0.005,54.5731,55.3503,54.9107,0.3897,54.9447,0.71
uniform,0.010,68.5385,69.8549,69.447,0.6739,69.2802,0.97
uniform,0.020,231.922,265.7874,284.184,26.5098,260.6311,10.17
uniform,0.040,507.8578,509.1402,522.108,7.8833,513.0353,1.54
uniform,0.080,764.0704,757.024,755.7426,4.4842,758.9457,0.59
hotspot,0.005,664.2508,665.2854,608.9844,32.2109,646.1735,4.98
hotspot,0.010,778.2818,748.7272,742.7188,19.0364,756.5759,2.52
hotspot,0.020,870.5642,872.1048,863.497,4.5901,868.722,0.53
hotspot,0.040,954.7066,950.0094,943.1124,5.8318,949.2761,0.61
hotspot,0.080,986.9078,989.3396,978.2922,5.805,984.8465,0.59
transpose,0.005,53.6784,52.8561,59.9463,3.878,55.4936,6.99
transpose,0.010,64.2818,65.1004,175.8364,64.1711,101.7395,63.07
transpose,0.020,343.1346,348.693,355.404,6.1437,349.0772,1.76
transpose,0.040,394.5694,396.062,430.482,20.317,407.0378,4.99
transpose,0.080,649.364,644.9238,682.0722,20.2877,658.7867,3.08
