method,k,traffic,ir,seed,avg_lat,net_lat,flit_lat,accepted_pkt_rate,accepted_flit_rate,status
XY,4,uniform,0.005,1337,38.873,38.1531,17.554,0.004797,0.096312,ok
XY,4,uniform,0.005,42,39.1571,38.3141,17.4451,0.004875,0.097891,ok
XY,4,uniform,0.005,314,37.4548,36.567,16.5611,0.005016,0.100734,ok
XY,4,uniform,0.005,2024,40.4739,39.7876,18.4953,0.004781,0.095922,ok
XY,4,uniform,0.01,42,43.5955,41.175,18.6582,0.009734,0.195391,ok
XY,4,uniform,0.005,17,39.5752,38.7222,18.0726,0.004781,0.095969,ok
XY,4,uniform,0.01,1337,43.7484,41.3742,19.1182,0.009562,0.19175,ok
XY,4,uniform,0.01,2024,43.5328,41.2754,18.9508,0.009531,0.191641,ok
XY,4,uniform,0.01,314,45.4016,42.1969,19.4161,0.009984,0.200641,ok
XY,4,uniform,0.01,17,43.9806,41.6866,19.0609,0.009672,0.193484,ok
XY,4,uniform,0.02,17,62.3622,52.9862,24.9653,0.019281,0.386891,ok
XY,4,uniform,0.02,2024,65.703,54.8865,25.6744,0.020078,0.403016,ok
XY,4,uniform,0.02,1337,62.4711,52.7803,24.7878,0.019187,0.384922,ok
XY,4,uniform,0.02,314,63.4013,53.1255,24.6755,0.019375,0.390875,ok
XY,4,uniform,0.02,42,60.8927,51.8084,24.2106,0.019734,0.396453,ok
XY,4,uniform,0.08,42,611.621,80.1726,41.0494,0.032594,0.659156,ok
XY,4,uniform,0.08,1337,612.128,81.2834,41.5474,0.032969,0.6675,ok
XY,4,uniform,0.04,42,385.846,80.3379,41.8,0.032188,0.646406,ok
XY,4,uniform,0.08,2024,600.585,82.0,43.0015,0.032094,0.648156,ok
XY,4,uniform,0.08,314,601.516,80.2248,41.5291,0.03225,0.651344,ok
XY,4,hotspot,0.005,42,481.792,369.863,292.587,0.003078,0.062203,ok
XY,4,hotspot,0.005,1337,331.825,286.103,222.023,0.003031,0.061969,ok
XY,4,hotspot,0.005,2024,419.143,346.388,274.35,0.003063,0.062156,ok
XY,4,uniform,0.04,2024,405.145,80.1431,41.5287,0.032422,0.653031,ok
XY,4,hotspot,0.005,314,366.887,326.845,261.561,0.003031,0.061969,ok
XY,4,uniform,0.04,17,395.403,79.9512,41.5586,0.031719,0.637938,ok
XY,4,hotspot,0.01,42,570.536,403.938,323.203,0.003031,0.061937,ok
XY,4,hotspot,0.01,1337,605.093,444.66,362.244,0.003031,0.062,ok
XY,4,uniform,0.08,17,598.178,79.82,41.1583,0.032813,0.664281,ok
XY,4,hotspot,0.01,2024,565.378,429.571,338.303,0.003063,0.062094,ok
XY,4,uniform,0.04,314,423.535,80.3127,41.4504,0.032031,0.644906,ok
XY,4,hotspot,0.005,17,489.497,376.594,297.986,0.003078,0.062203,ok
XY,4,hotspot,0.01,17,535.417,427.083,345.354,0.003,0.061906,ok
XY,4,uniform,0.04,1337,459.687,79.3281,41.7054,0.032703,0.658203,ok
XY,4,hotspot,0.02,42,788.449,455.653,364.792,0.003063,0.062,ok
XY,4,hotspot,0.01,314,608.224,424.5,338.449,0.003063,0.062,ok
XY,4,hotspot,0.02,1337,797.602,465.929,385.258,0.003063,0.06225,ok
XY,4,hotspot,0.02,314,755.392,441.67,345.357,0.003031,0.062,ok
XY,4,hotspot,0.02,17,734.939,459.48,361.937,0.003063,0.061906,ok
XY,4,hotspot,0.04,42,877.773,481.732,382.814,0.003031,0.062,ok
XY,4,hotspot,0.04,1337,916.867,463.724,369.973,0.003063,0.062281,ok
XY,4,hotspot,0.02,2024,759.959,467.551,370.195,0.003063,0.062062,ok
XY,4,hotspot,0.04,314,851.062,485.186,387.373,0.003031,0.061906,ok
XY,4,hotspot,0.08,1337,952.258,478.67,377.125,0.003031,0.062312,ok
XY,4,hotspot,0.08,42,961.814,469.928,370.596,0.003031,0.062125,ok
XY,4,hotspot,0.04,17,888.763,492.557,390.893,0.003031,0.062,ok
XY,4,hotspot,0.04,2024,895.887,483.969,379.459,0.003031,0.062062,ok
XY,4,hotspot,0.08,2024,954.857,492.582,392.656,0.003063,0.06225,ok
