k,traffic,ir,n_seeds,dddqn_mean,dddqn_ci95,best_classical_method,best_mean,best_ci95,delta_mean,delta_pct,p_value,significant_p05,win
4,uniform,0.005,5,38.9619,1.084,QRouting,38.8318,1.0518,0.1301,0.33,0.584,no,no
4,uniform,0.010,5,43.9321,0.6265,XY,44.0202,0.8759,-0.0881,-0.2,0.8568,no,yes
4,uniform,0.020,5,63.2893,2.6993,XY,62.9661,2.2027,0.3233,0.51,0.7619,no,no
4,uniform,0.040,5,401.107,35.7841,XY,404.2386,17.9815,-3.1316,-0.77,0.8567,no,yes
4,uniform,0.080,5,601.6278,12.0138,XY,603.619,9.6143,-1.9912,-0.33,0.6391,no,yes
4,hotspot,0.005,5,402.0476,89.0425,QRouting,364.2938,87.377,37.7538,10.36,0.01359,yes,no
4,hotspot,0.010,5,541.3332,51.7226,DyAD,520.1048,35.6888,21.2284,4.08,0.1593,no,no
4,hotspot,0.020,5,744.0552,33.3529,DyAD,718.2778,44.4168,25.7774,3.59,0.03565,yes,no
4,hotspot,0.040,5,884.6204,19.2085,OddEven,864.5934,34.6506,20.027,2.32,0.07676,no,no
4,hotspot,0.080,5,944.464,12.3777,OddEven,938.6426,12.4275,5.8214,0.62,0.3135,no,no
4,transpose,0.005,5,36.8894,0.3467,DyAD,36.24,0.6645,0.6493,1.79,0.01768,yes,no
4,transpose,0.010,5,39.7096,0.7654,DyAD,39.0013,1.1968,0.7083,1.82,0.2504,no,no
4,transpose,0.020,5,50.4863,2.0009,DyAD,51.6993,4.4465,-1.213,-2.35,0.529,no,yes
4,transpose,0.040,5,263.1264,22.5801,OddEven,255.9454,42.5199,7.181,2.81,0.6946,no,no
4,transpose,0.080,5,499.5844,11.9613,DyAD,433.0202,13.8947,66.5642,15.37,2.705e-06,yes,no
8,uniform,0.005,5,54.5731,0.7363,XY,54.1828,0.727,0.3903,0.72,0.4284,no,no
8,uniform,0.010,5,68.5385,2.3699,XY,69.4401,0.7074,-0.9015,-1.3,0.2501,no,yes
8,uniform,0.020,5,231.922,42.5832,XY,237.368,49.2211,-5.446,-2.29,0.5297,no,yes
8,uniform,0.040,5,507.8578,14.1397,XY,507.152,8.7513,0.7058,0.14,0.9044,no,no
8,uniform,0.080,5,764.0704,17.4255,QRouting,739.6142,22.5589,24.4562,3.31,0.08571,no,no
8,hotspot,0.005,5,664.2508,34.0046,MinAdapt,524.9058,43.3012,139.345,26.55,0.004117,yes,no
8,hotspot,0.010,5,778.2818,43.6673,MinAdapt,678.812,40.0616,99.4698,14.65,0.01149,yes,no
8,hotspot,0.020,5,870.5642,21.4352,MinAdapt,824.3754,23.3836,46.1888,5.6,0.03558,yes,no
8,hotspot,0.040,5,954.7066,7.9172,MinAdapt,910.752,25.7907,43.9546,4.83,0.005293,yes,no
8,hotspot,0.080,5,986.9078,12.2268,MinAdapt,968.9536,8.1495,17.9542,1.85,0.01487,yes,no
8,transpose,0.005,5,53.6784,0.9936,DyAD,54.4237,0.5299,-0.7453,-1.37,0.05134,no,yes
8,transpose,0.010,5,64.2818,1.5455,QRouting,74.5991,2.6137,-10.3173,-13.83,6.36e-05,yes,yes
8,transpose,0.020,5,343.1346,32.0887,MinAdapt,281.503,11.4324,61.6316,21.89,0.004112,yes,no
8,transpose,0.040,5,394.5694,3.5799,OddEven,371.296,13.4408,23.2734,6.27,0.005667,yes,no
8,transpose,0.080,5,649.364,8.3484,OddEven,587.2196,9.7826,62.1444,10.58,2.246e-05,yes,no
16,uniform,0.005,5,91.1296,1.2363,XY,89.8299,0.8609,1.2997,1.45,0.02576,yes,no
16,uniform,0.010,5,266.1896,31.7163,XY,212.6074,7.0391,53.5822,25.2,0.005878,yes,no
16,uniform,0.020,5,451.46,52.2326,QRouting,394.6086,49.859,56.8514,14.41,0.00639,yes,no
16,uniform,0.040,5,633.1442,61.57,QRouting,382.6518,69.975,250.4924,65.46,0.001666,yes,no
16,uniform,0.080,5,680.5644,79.5522,QRouting,449.867,166.3587,230.6974,51.28,0.02967,yes,no
16,hotspot,0.005,5,820.473,40.1081,MinAdapt,646.8094,27.3992,173.6636,26.85,0.001,yes,no
16,hotspot,0.010,5,860.8432,30.0225,MinAdapt,757.5992,12.6298,103.244,13.63,0.001373,yes,no
16,hotspot,0.020,5,952.555,16.6483,MinAdapt,872.4574,32.6395,80.0976,9.18,0.00181,yes,no
16,hotspot,0.040,5,955.1706,24.6932,MinAdapt,915.5118,20.5704,39.6588,4.33,0.02143,yes,no
16,hotspot,0.080,5,994.3304,16.36,MinAdapt,976.5148,17.91,17.8156,1.82,0.01414,yes,no
16,transpose,0.005,5,95.167,1.5018,QRouting,116.7292,3.4555,-21.5622,-18.47,9.207e-05,yes,yes
16,transpose,0.010,5,331.9698,10.2881,QRouting,240.2776,4.8922,91.6922,38.16,1.766e-05,yes,no
16,transpose,0.020,5,411.2322,5.9118,OddEven,328.6328,7.2679,82.5994,25.13,2.842e-06,yes,no
16,transpose,0.040,5,560.6244,8.6383,OddEven,418.6364,12.1888,141.988,33.92,1.012e-05,yes,no
16,transpose,0.080,5,744.2552,8.2221,OddEven,627.6796,9.0671,116.5756,18.57,4.265e-06,yes,no
