k,traffic,ir,n_seeds,dddqn_mean,dddqn_ci95,minadapt_mean,minadapt_ci95,delta_mean,delta_pct,p_value,significant_p05,win
4,uniform,0.005,5,38.9619,1.084,39.4376,1.2738,-0.4757,-1.21,0.09765,no,yes
4,uniform,0.010,5,43.9321,0.6265,44.7829,0.8616,-0.8508,-1.9,0.142,no,yes
4,uniform,0.020,5,63.2893,2.6993,68.2814,3.7413,-4.992,-7.31,0.001065,yes,yes
4,uniform,0.040,5,401.107,35.7841,501.9542,45.3533,-100.8472,-20.09,0.001825,yes,yes
4,uniform,0.080,5,601.6278,12.0138,635.238,16.6683,-33.6102,-5.29,0.002067,yes,yes
4,hotspot,0.005,5,402.0476,89.0425,394.1602,70.1353,7.8874,2.0,0.3359,no,no
4,hotspot,0.010,5,541.3332,51.7226,578.8626,17.4977,-37.5294,-6.48,0.08358,no,yes
4,hotspot,0.020,5,744.0552,33.3529,762.8158,30.3705,-18.7606,-2.46,0.203,no,yes
4,hotspot,0.040,5,884.6204,19.2085,888.6084,19.8236,-3.988,-0.45,0.4019,no,yes
4,hotspot,0.080,5,944.464,12.3777,955.205,14.0129,-10.741,-1.12,0.09517,no,yes
4,transpose,0.005,5,36.8894,0.3467,38.1996,0.7147,-1.3102,-3.43,0.01012,yes,yes
4,transpose,0.010,5,39.7096,0.7654,44.9322,1.861,-5.2226,-11.62,0.002084,yes,yes
4,transpose,0.020,5,50.4863,2.0009,241.5714,41.8701,-191.0851,-79.1,0.0002335,yes,yes
4,transpose,0.040,5,263.1264,22.5801,481.488,30.668,-218.3616,-45.35,0.0002481,yes,yes
4,transpose,0.080,5,499.5844,11.9613,537.8478,10.6902,-38.2634,-7.11,0.001297,yes,yes
8,uniform,0.005,5,54.5731,0.7363,57.2043,1.0312,-2.6312,-4.6,0.002637,yes,yes
8,uniform,0.010,5,68.5385,2.3699,81.273,4.4609,-12.7345,-15.67,0.0006603,yes,yes
8,uniform,0.020,5,231.922,42.5832,324.5096,38.6829,-92.5876,-28.53,9.014e-05,yes,yes
8,uniform,0.040,5,507.8578,14.1397,547.5014,19.2636,-39.6436,-7.24,0.00929,yes,yes
8,uniform,0.080,5,764.0704,17.4255,767.261,23.0159,-3.1906,-0.42,0.7989,no,yes
8,hotspot,0.005,5,664.2508,34.0046,537.2668,56.7809,126.984,23.64,0.01509,yes,no
8,hotspot,0.010,5,778.2818,43.6673,704.4466,62.9807,73.8352,10.48,0.05721,no,no
8,hotspot,0.020,5,870.5642,21.4352,844.8572,41.1559,25.707,3.04,0.1997,no,no
8,hotspot,0.040,5,954.7066,7.9172,924.3708,29.616,30.3358,3.28,0.03902,yes,no
8,hotspot,0.080,5,986.9078,12.2268,972.2262,10.1215,14.6816,1.51,0.01194,yes,no
8,transpose,0.005,5,53.6784,0.9936,65.8147,4.993,-12.1363,-18.44,0.004773,yes,yes
8,transpose,0.010,5,64.2818,1.5455,208.2396,27.4392,-143.9578,-69.13,0.0001282,yes,yes
8,transpose,0.020,5,343.1346,32.0887,283.3908,11.3178,59.7438,21.08,0.006284,yes,no
8,transpose,0.040,5,394.5694,3.5799,410.4994,11.6949,-15.93,-3.88,0.006769,yes,yes
8,transpose,0.080,5,649.364,8.3484,635.3716,9.8463,13.9924,2.2,0.0004693,yes,no
16,uniform,0.005,5,91.1296,1.2363,117.5172,2.7614,-26.3876,-22.45,1.371e-06,yes,yes
16,uniform,0.010,5,266.1896,31.7163,300.9956,13.8092,-34.806,-11.56,0.02528,yes,yes
16,uniform,0.020,5,451.46,52.2326,453.3498,21.8205,-1.8898,-0.42,0.8959,no,yes
16,uniform,0.040,5,633.1442,61.57,712.6088,8.2721,-79.4646,-11.15,0.02659,yes,yes
16,uniform,0.080,5,680.5644,79.5522,855.9958,1.8867,-175.4314,-20.49,0.003411,yes,yes
16,hotspot,0.005,5,820.473,40.1081,670.49,23.6161,149.983,22.37,0.002063,yes,no
16,hotspot,0.010,5,860.8432,30.0225,776.7778,37.5879,84.0654,10.82,0.02226,yes,no
16,hotspot,0.020,5,952.555,16.6483,877.1468,38.5717,75.4082,8.6,0.003514,yes,no
16,hotspot,0.040,5,955.1706,24.6932,927.4086,26.9679,27.762,2.99,0.1764,no,no
16,hotspot,0.080,5,994.3304,16.36,978.2396,16.5431,16.0908,1.64,0.01607,yes,no
16,transpose,0.005,5,95.167,1.5018,217.834,11.0172,-122.667,-56.31,5.632e-06,yes,yes
16,transpose,0.010,5,331.9698,10.2881,252.4466,8.4245,79.5232,31.5,7.232e-07,yes,no
16,transpose,0.020,5,411.2322,5.9118,380.3688,14.3684,30.8634,8.11,0.003096,yes,no
16,transpose,0.040,5,560.6244,8.6383,498.9786,5.2339,61.6458,12.35,6.474e-06,yes,no
16,transpose,0.080,5,744.2552,8.2221,680.5732,6.4996,63.682,9.36,4.732e-06,yes,no
