k,traffic,ir,dddqn_mean,best_classical_method,best_classical_mean,delta_pct,win
4,uniform,0.005,38.9619,XY,39.1068,-0.37,yes
4,uniform,0.01,43.9321,XY,44.0518,-0.27,yes
4,uniform,0.02,63.2893,XY,62.9661,0.51,no
4,uniform,0.04,401.107,XY,413.9232,-3.1,yes
4,uniform,0.08,601.6278,XY,604.8056,-0.53,yes
4,hotspot,0.005,402.0476,OddEven,390.1776,3.04,no
4,hotspot,0.01,541.3332,DyAD,530.9902,1.95,no
4,hotspot,0.02,744.0552,DyAD,733.9256,1.38,no
4,hotspot,0.04,884.6204,OddEven,870.0102,1.68,no
4,hotspot,0.08,944.464,OddEven,941.935,0.27,no
4,transpose,0.005,36.8894,DyAD,36.24,1.79,no
4,transpose,0.01,39.7096,DyAD,39.0013,1.82,no
4,transpose,0.02,50.4863,DyAD,51.6993,-2.35,yes
4,transpose,0.04,263.1264,OddEven,271.3952,-3.05,yes
4,transpose,0.08,499.5844,DyAD,433.0202,15.37,no
8,uniform,0.005,54.5731,XY,54.1828,0.72,no
8,uniform,0.01,68.5385,XY,69.4401,-1.3,yes
8,uniform,0.02,231.922,XY,237.368,-2.29,yes
8,uniform,0.04,507.8578,XY,514.895,-1.37,yes
8,uniform,0.08,764.0704,QRouting,755.4798,1.14,no
8,hotspot,0.005,664.2508,MinAdapt,537.2668,23.64,no
8,hotspot,0.01,778.2818,MinAdapt,704.4466,10.48,no
8,hotspot,0.02,870.5642,OddEven,842.1606,3.37,no
8,hotspot,0.04,954.7066,MinAdapt,924.3708,3.28,no
8,hotspot,0.08,986.9078,OddEven,971.6468,1.57,no
8,transpose,0.005,53.6784,DyAD,54.4237,-1.37,yes
8,transpose,0.01,64.2818,QRouting,74.5991,-13.83,yes
8,transpose,0.02,343.1346,MinAdapt,283.3908,21.08,no
8,transpose,0.04,394.5694,OddEven,371.296,6.27,no
8,transpose,0.08,649.364,OddEven,587.2196,10.58,no
16,uniform,0.005,91.1296,XY,89.8299,1.45,no
16,uniform,0.01,266.1896,XY,212.6074,25.2,no
16,uniform,0.02,451.46,QRouting,399.0042,13.15,no
16,uniform,0.04,633.1442,QRouting,382.6518,65.46,no
16,uniform,0.08,680.5644,QRouting,449.867,51.28,no
16,hotspot,0.005,820.473,MinAdapt,670.49,22.37,no
16,hotspot,0.01,860.8432,MinAdapt,776.7778,10.82,no
16,hotspot,0.02,952.555,MinAdapt,877.1468,8.6,no
16,hotspot,0.04,955.1706,MinAdapt,927.4086,2.99,no
16,hotspot,0.08,994.3304,MinAdapt,978.2396,1.64,no
16,transpose,0.005,95.167,QRouting,116.7292,-18.47,yes
16,transpose,0.01,331.9698,QRouting,240.2776,38.16,no
16,transpose,0.02,411.2322,OddEven,328.6328,25.13,no
16,transpose,0.04,560.6244,OddEven,418.6364,33.92,no
16,transpose,0.08,744.2552,OddEven,627.6796,18.57,no
