k,traffic,ir,dddqn_mean,minadapt_mean,delta_pct,win
4,uniform,0.005,38.9619,39.4376,-1.21,yes
4,uniform,0.01,43.9321,44.7829,-1.9,yes
4,uniform,0.02,63.2893,68.2814,-7.31,yes
4,uniform,0.04,401.107,501.9542,-20.09,yes
4,uniform,0.08,601.6278,635.238,-5.29,yes
4,hotspot,0.005,402.0476,394.1602,2.0,no
4,hotspot,0.01,541.3332,578.8626,-6.48,yes
4,hotspot,0.02,744.0552,762.8158,-2.46,yes
4,hotspot,0.04,884.6204,888.6084,-0.45,yes
4,hotspot,0.08,944.464,955.205,-1.12,yes
4,transpose,0.005,36.8894,38.1996,-3.43,yes
4,transpose,0.01,39.7096,44.9322,-11.62,yes
4,transpose,0.02,50.4863,241.5714,-79.1,yes
4,transpose,0.04,263.1264,481.488,-45.35,yes
4,transpose,0.08,499.5844,537.8478,-7.11,yes
8,uniform,0.005,54.5731,57.2043,-4.6,yes
8,uniform,0.01,68.5385,81.273,-15.67,yes
8,uniform,0.02,231.922,324.5096,-28.53,yes
8,uniform,0.04,507.8578,547.5014,-7.24,yes
8,uniform,0.08,764.0704,767.261,-0.42,yes
8,hotspot,0.005,664.2508,537.2668,23.64,no
8,hotspot,0.01,778.2818,704.4466,10.48,no
8,hotspot,0.02,870.5642,844.8572,3.04,no
8,hotspot,0.04,954.7066,924.3708,3.28,no
8,hotspot,0.08,986.9078,972.2262,1.51,no
8,transpose,0.005,53.6784,65.8147,-18.44,yes
8,transpose,0.01,64.2818,208.2396,-69.13,yes
8,transpose,0.02,343.1346,283.3908,21.08,no
8,transpose,0.04,394.5694,410.4994,-3.88,yes
8,transpose,0.08,649.364,635.3716,2.2,no
16,uniform,0.005,91.1296,117.5172,-22.45,yes
16,uniform,0.01,266.1896,300.9956,-11.56,yes
16,uniform,0.02,451.46,453.3498,-0.42,yes
16,uniform,0.04,633.1442,712.6088,-11.15,yes
16,uniform,0.08,680.5644,855.9958,-20.49,yes
16,hotspot,0.005,820.473,670.49,22.37,no
16,hotspot,0.01,860.8432,776.7778,10.82,no
16,hotspot,0.02,952.555,877.1468,8.6,no
16,hotspot,0.04,955.1706,927.4086,2.99,no
16,hotspot,0.08,994.3304,978.2396,1.64,no
16,transpose,0.005,95.167,217.834,-56.31,yes
16,transpose,0.01,331.9698,252.4466,31.5,no
16,transpose,0.02,411.2322,380.3688,8.11,no
16,transpose,0.04,560.6244,498.9786,12.35,no
16,transpose,0.08,744.2552,680.5732,9.36,no
